Codigo_Pieza,Extension,Largo_CAD,Ancho_CAD,Espesor_Perfil_CAD,Material,Observaciones,Tiene_DXF,Largo_DXF,Ancho_DXF,Largo_DXF_Nuevo,Ancho_DXF_Nuevo,Ruta_Archivo
B5CU-01,.sldprt,3800.0,101.6,50.8,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\B5CU-01.SLDPRT
C53-ALUM-BDC,.sldprt,800.0,300.0,6.35,,OK (CAD y DXF coinciden),SI,800.0,300.0,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-ALUM-BDC.SLDPRT
C53-BAS1-001,.sldprt,2159.08,76.2,50.8,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS1-001.SLDPRT
C53-BAS1-002,.sldprt,6098.4,101.6,50.8,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS1-002.SLDPRT
C53-BAS1-003,.sldprt,2718.4,50.8,50.8,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS1-003.SLDPRT
C53-BAS1-004,.sldprt,913.48,76.2,50.8,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS1-004.SLDPRT
C53-BAS1-006,.sldprt,356.8,50.8,50.8,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS1-006.SLDPRT
C53-BAS1-008,.sldprt,4751.6,203.2,9.52,,OK (CAD y DXF coinciden),SI,4751.55,203.2000000000002,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS1-008.SLDPRT
C53-BAS1-008A,.sldprt,1497.2,203.2,9.52,,OK (CAD y DXF coinciden),SI,1497.248535553845,203.2,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS1-008A.SLDPRT
C53-BAS1-010,.sldprt,2168.4,723.8,6.35,,OK (CAD y DXF coinciden),SI,2168.4,723.8473400508857,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS1-010.SLDPRT
C53-BAS1-011,.sldprt,570.0,456.9,3.18,,OK (CAD y DXF coinciden),SI,570.0000000000002,456.93742789157244,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS1-011.SLDPRT
C53-BAS1-012,.sldprt,1270.7,570.0,3.18,,OK (CAD y DXF coinciden),SI,1270.6748557831447,570.0000000000002,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS1-012.SLDPRT
C53-BAS1-019,.sldprt,1002.29,101.6,9.52,,OK (CAD y DXF coinciden),SI,1002.2941385824925,101.60000000000007,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS1-019.SLDPRT
C53-BAS17,.sldprt,1950.0,723.8,6.35,,OK (CAD y DXF coinciden),SI,1950.0,723.8473400508857,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS17.SLDPRT
C53-BAS2-001,.sldprt,2060.0,76.2,50.8,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS2-001.SLDPRT
C53-BAS2-002,.sldprt,3588.6,101.6,76.2,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS2-002.SLDPRT
C53-BAS2-003,.sldprt,3436.2,50.8,50.8,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS2-003.SLDPRT
C53-BAS2-004,.sldprt,814.4,76.2,50.8,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS2-004.SLDPRT
C53-BAS2-005,.sldprt,1409.9,749.2,6.35,,OK (CAD y DXF coinciden),SI,1409.9,749.2473400508856,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS2-005.SLDPRT
C53-BAS2-006,.sldprt,657.3,152.4,4.76,,OK (CAD y DXF coinciden),SI,657.3427525190823,152.40000000000015,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS2-006.SLDPRT
C53-BAS2-008,.sldprt,900.0,101.6,50.8,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS2-008.SLDPRT
C53-BAS3-001,.sldprt,2088.4,76.2,50.8,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS3-001.SLDPRT
C53-BAS3-002,.sldprt,7398.6,152.4,50.8,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS3-002.SLDPRT
C53-BAS3-003,.sldprt,7244.6,50.8,50.8,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS3-003.SLDPRT
C53-BAS3-004,.sldprt,3485.4,76.2,50.8,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS3-004.SLDPRT
C53-BAS3-005,.sldprt,792.0,76.2,50.8,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS3-005.SLDPRT
C53-BAS3-006,.sldprt,837.1,570.0,3.18,,OK (CAD y DXF coinciden),SI,837.13382407824,570.0000000000002,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS3-006.SLDPRT
C53-BAS3-007,.sldprt,1437.3,723.8,6.35,,OK (CAD y DXF coinciden),SI,1437.2999999999997,723.8473400508857,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS3-007.SLDPRT
C53-BAS3-008,.sldprt,280.0,101.6,50.8,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS3-008.SLDPRT
C53-BAS3-009,.sldprt,326.3,101.6,9.52,,OK (CAD y DXF coinciden),SI,326.3427525190822,101.60000000000002,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS3-009.SLDPRT
C53-BAS3-010,.sldprt,360.0,152.4,25.4,,OK (CAD y DXF coinciden),SI,360.00000000000006,152.4,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS3-010.SLDPRT
C53-BAS3-018,.sldprt,343.8,50.8,3.18,,OK (CAD y DXF coinciden),SI,343.8211041282198,50.80000000000006,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS3-018.SLDPRT
C53-BAS3-025,.sldprt,63.5,63.5,50.8,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS3-025.SLDPRT
C53-BAS3-026,.sldprt,133.35,76.2,76.2,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS3-026.SLDPRT
C53-BAS3-031,.sldprt,254.6,101.6,50.8,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS3-031.SLDPRT
C53-BAS3-033,.sldprt,190.2,101.6,4.76,,OK (CAD y DXF coinciden),SI,190.20289159192944,101.6,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS3-033.SLDPRT
C53-BAS3-038,.sldprt,965.4,101.6,50.8,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS3-038.SLDPRT
C53-BAS3-039,.sldprt,1210.28,101.6,76.2,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS3-039.SLDPRT
C53-BAS3-040,.sldprt,613.5,101.6,50.8,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS3-040.SLDPRT
C53-BAS3-041,.sldprt,325.5,101.6,50.8,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS3-041.SLDPRT
C53-BAS3-042,.sldprt,200.0,101.6,25.4,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS3-042.SLDPRT
C53-BAS3-043,.sldprt,1568.2,101.6,50.8,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS3-043.SLDPRT
C53-BAS3-044,.sldprt,310.4,300.0,9.52,,OK (CAD y DXF coinciden),SI,310.39,300.0,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS3-044.SLDPRT
C53-BAS3-045,.sldprt,143.7,50.8,3.1,,OK (CAD y DXF coinciden),SI,143.7,50.80000000000002,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS3-045.SLDPRT
C53-BAS3-046,.sldprt,3561.6,76.2,50.8,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS3-046.SLDPRT
C53-BAS3-047,.sldprt,500.0,76.2,50.8,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS3-047.SLDPRT
C53-BAS3-048,.sldprt,1739.2,723.8,6.35,,OK (CAD y DXF coinciden),SI,1739.2000000000003,723.8473400508858,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS3-048.SLDPRT
C53-BAS3-049,.sldprt,259.3,76.2,3.18,,OK (CAD y DXF coinciden),SI,259.3,76.2,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS3-049.SLDPRT
C53-BAS3-051,.sldprt,1739.2,723.8,6.35,,OK (CAD y DXF coinciden),SI,1739.1999999999998,723.8473400508858,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BAS3-051.SLDPRT
